"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "XML", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\HomePage\Section1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 183, 0, 10, 22, 215
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\HomePage\Section2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 144, 0, 7, 13, 164
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\HomePage\Section3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 6, 47
"c:\Users\HABIB\Desktop\LMS\LMS\src\data\countrycode.json", "JSON", 0, 782, 0, 0, 0, 0, 0, 0, 0, 0, 1, 783
"c:\Users\HABIB\Desktop\LMS\LMS\src\data\dashboard-links.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 53
"c:\Users\HABIB\Desktop\LMS\LMS\src\data\footer-links.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\HABIB\Desktop\LMS\LMS\src\data\homepage-explore.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117
"c:\Users\HABIB\Desktop\LMS\LMS\src\data\navbar-links.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\HABIB\Desktop\LMS\LMS\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 114, 11, 18, 143
"c:\Users\HABIB\Desktop\LMS\LMS\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 136, 0, 15, 18, 169
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 174, 0, 15, 13, 202
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\Course.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 1, 8, 139
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 7, 25
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 135, 0, 2, 14, 151
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\ResendEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\ResetPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 174, 0, 22, 24, 220
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\SignUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 242, 0, 6, 23, 271
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\Test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 52, 22, 90
"c:\Users\HABIB\Desktop\LMS\LMS\src\pages\VerifyEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 3, 16, 121
"c:\Users\HABIB\Desktop\LMS\LMS\src\services\apiConnector.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\HABIB\Desktop\LMS\LMS\src\services\apis.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\HABIB\Desktop\LMS\LMS\src\services\opeartions\authApi.ts", "TypeScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 16, 39, 240
"c:\Users\HABIB\Desktop\LMS\LMS\src\services\opeartions\courseApi.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 23, 137
"c:\Users\HABIB\Desktop\LMS\LMS\src\services\opeartions\profileApi.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 4, 22, 131
"c:\Users\HABIB\Desktop\LMS\LMS\src\store\useAuthStore.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\HABIB\Desktop\LMS\LMS\src\store\useCartStore.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 4, 23, 97
"c:\Users\HABIB\Desktop\LMS\LMS\src\store\useCourseStore.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Users\HABIB\Desktop\LMS\LMS\src\store\useProfileStore.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\HABIB\Desktop\LMS\LMS\tsconfig.app.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\HABIB\Desktop\LMS\LMS\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\HABIB\Desktop\LMS\LMS\tsconfig.node.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\HABIB\Desktop\LMS\LMS\vite.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 194, 5347, 675, 7, 14, 267, 60, 3927, 115, 249, 745, 11600
